lag,target_process,source_process,phi
33,Y2X,Y2X,0.00915341658876569
34,X2Y,X2Y,0.009215609212550152
34,X2Y,Y2X,-0.0020332768521692437
34,Y2X,X2Y,-0.002687156767778059
34,Y2X,Y2X,0.006804511597668814
35,X2Y,X2Y,0.009280991322900615
35,X2Y,Y2X,0.002812275521795905
35,Y2X,X2Y,0.0010180542820406634
35,Y2X,Y2X,0.002071539533367841
36,X2Y,X2Y,0.011903637368272116
36,X2Y,Y2X,0.00225946372051985
36,Y2X,X2Y,0.0012369668889548738
36,Y2X,Y2X,0.012731225786866425
37,X2Y,X2Y,0.004829608276864931
37,X2Y,Y2X,-0.004990564822477088
37,Y2X,X2Y,0.0017399899720537816
37,Y2X,Y2X,0.0017962767975951987
38,X2Y,X2Y,0.008402718867009785
38,X2Y,Y2X,-0.00173564172785252
38,Y2X,X2Y,0.0011880442539673733
38,Y2X,Y2X,0.01106318545399545
39,X2Y,X2Y,0.01116424016743993
39,X2Y,Y2X,-0.002802101660011277
39,Y2X,X2Y,0.005122918832023606
39,Y2X,Y2X,0.012593122845642478
40,X2Y,X2Y,0.006182383517326891
40,X2Y,Y2X,0.005747073816692276
40,Y2X,X2Y,-0.0011147923485683902
40,Y2X,Y2X,0.01010847610320714
41,X2Y,X2Y,0.010045765295900372
41,X2Y,Y2X,0.0015944504343669797
41,Y2X,X2Y,0.0010046692361539902
41,Y2X,Y2X,0.011420885910911085
